Column1,Column2,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1066,61%,94576,38.54929,-122.4764,Deer Park,CA,California,TRUE,,105,109.7,6055,Napa,"{""06055"": ""100""}",Napa,6055,FALSE,FALSE,America/Los_Angeles
1067,61%,94577,37.71543,-122.16628,San Leandro,CA,California,TRUE,,47682,2259.5,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1068,61%,94578,37.70642,-122.1253,San Leandro,CA,California,TRUE,,41865,3601.3,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1069,61%,94579,37.68643,-122.15748,San Leandro,CA,California,TRUE,,21883,2701.6,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1070,61%,94580,37.67698,-122.13378,San Lorenzo,CA,California,TRUE,,30488,3416.4,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1071,61%,94582,37.76349,-121.91537,San Ramon,CA,California,TRUE,,42576,1259.7,6013,Contra Costa,"{""06013"": ""100""}",Contra Costa,6013,FALSE,FALSE,America/Los_Angeles
1072,61%,94583,37.75515,-121.97273,San Ramon,CA,California,TRUE,,35231,910.7,6013,Contra Costa,"{""06013"": ""100""}",Contra Costa,6013,FALSE,FALSE,America/Los_Angeles
1073,61%,94585,38.19379,-121.92595,Suisun City,CA,California,TRUE,,29525,101.4,6095,Solano,"{""06095"": ""100""}",Solano,6095,FALSE,FALSE,America/Los_Angeles
1074,61%,94586,37.57372,-121.8513,Sunol,CA,California,TRUE,,831,5.5,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1075,61%,94587,37.60315,-122.01865,Union City,CA,California,TRUE,,74722,1462.9,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1076,61%,94588,37.73748,-121.88184,Pleasanton,CA,California,TRUE,,37253,452.2,6001,Alameda,"{""06001"": ""98.7"", ""06013"": ""1.3""}",Alameda|Contra Costa,06001|06013,FALSE,FALSE,America/Los_Angeles
1077,61%,94589,38.16459,-122.23584,Vallejo,CA,California,TRUE,,31536,1059.4,6095,Solano,"{""06095"": ""99.98"", ""06055"": ""0.02""}",Solano|Napa,06095|06055,FALSE,FALSE,America/Los_Angeles
1078,61%,94590,38.10303,-122.2486,Vallejo,CA,California,TRUE,,37280,2422.6,6095,Solano,"{""06095"": ""100""}",Solano,6095,FALSE,FALSE,America/Los_Angeles
1079,61%,94591,38.12332,-122.19528,Vallejo,CA,California,TRUE,,55157,981,6095,Solano,"{""06095"": ""100""}",Solano,6095,FALSE,FALSE,America/Los_Angeles
1080,61%,94592,38.09194,-122.27466,Vallejo,CA,California,TRUE,,952,86.9,6095,Solano,"{""06095"": ""100""}",Solano,6095,FALSE,FALSE,America/Los_Angeles
1081,61%,94595,37.87197,-122.06933,Walnut Creek,CA,California,TRUE,,18117,1300.2,6013,Contra Costa,"{""06013"": ""100""}",Contra Costa,6013,FALSE,FALSE,America/Los_Angeles
1082,61%,94596,37.88907,-122.03753,Walnut Creek,CA,California,TRUE,,21700,1406.3,6013,Contra Costa,"{""06013"": ""100""}",Contra Costa,6013,FALSE,FALSE,America/Los_Angeles
1083,61%,94597,37.91827,-122.07155,Walnut Creek,CA,California,TRUE,,23108,2281.8,6013,Contra Costa,"{""06013"": ""100""}",Contra Costa,6013,FALSE,FALSE,America/Los_Angeles
1084,62%,94598,37.9011,-122.00047,Walnut Creek,CA,California,TRUE,,27831,706,6013,Contra Costa,"{""06013"": ""100""}",Contra Costa,6013,FALSE,FALSE,America/Los_Angeles
1085,62%,94599,38.41119,-122.36068,Yountville,CA,California,TRUE,,3108,435.9,6055,Napa,"{""06055"": ""100""}",Napa,6055,FALSE,FALSE,America/Los_Angeles
1086,62%,94601,37.7767,-122.2184,Oakland,CA,California,TRUE,,53039,6306.2,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1087,62%,94602,37.8041,-122.20704,Oakland,CA,California,TRUE,,30162,3523.3,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1088,62%,94603,37.73661,-122.17935,Oakland,CA,California,TRUE,,35862,4244.7,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
1089,62%,94605,37.7604,-122.14834,Oakland,CA,California,TRUE,,43399,1871,6001,Alameda,"{""06001"": ""100""}",Alameda,6001,FALSE,FALSE,America/Los_Angeles
